"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1793677007840305380","Thu May 23 16:14:58 +0000 2024","973","Berani tidak komisi @DPR_RI kawal angkat kasus bansos 497 triliun yg lebih besar dari korup timah 271 T....? Berani tidak @KejaksaanagungR Usut bansos yg di selewengkan untuk pemilu...? https://t.co/bOZ40r4nOh","1793677007840305380","https://pbs.twimg.com/ext_tw_video_thumb/1793676977221816320/pu/img/03JcJonHJ9KzhTVc.jpg","","in","","16","69","503","https://x.com/H4T14K4LN4L42/status/1793677007840305380","1129672753651388416","H4T14K4LN4L42"
"1795547561530716369","Tue May 28 20:07:52 +0000 2024","10","Jelang pemilu pada terlena dengan bansos dan BLT. Setelah pemilu baru pada siuman awalnya dengan UKT lanjut dengan Tapera dan ditunggu kejutan-2 lain yg membuat rakyat bahagia (waiting list pembatasan pertalite dan Gas melon). Jangan lupa RUU penyiaran MK dan TNI Polri dan https://t.co/Z1x4GJ6ELD","1795547561530716369","https://pbs.twimg.com/media/GOsQ_Y3bcAA8gV3.jpg","","in","Planeta Rica, Colombia","0","1","5","https://x.com/5teV3n_Pe9eL/status/1795547561530716369","224431376","5teV3n_Pe9eL"
"1793021760389951564","Tue May 21 20:51:15 +0000 2024","18","Pemilu Di Negara Miskin Yang terpilih bukan Yang berprestasi tapi yang Mampu Bagi-Bagi Duit&amp;Bansos..!!!!!","1793021760389951564","","","in","","0","2","10","https://x.com/Opiniku95098012/status/1793021760389951564","1645282016706064384","Opiniku95098012"
"1796441693119779118","Fri May 31 07:20:50 +0000 2024","109","KPK : Bansos dilarang menjelang pemilu Pak de Langsung rubah strategi Bansos diganti ke Bantuan pangan Ngibul terus https://t.co/9I1FhjUfPK","1796441693119779118","https://pbs.twimg.com/media/GO4-Mh3bIAAgVeY.jpg","","in","Kerajaan, Indonesia","1","10","44","https://x.com/KangManto123/status/1796441693119779118","947632364003368961","KangManto123"
"1796145683495325733","Thu May 30 11:44:36 +0000 2024","0","Asal jangan usut kasus : 1. Gratifikasi anak presiden 2. Kecurangan pemilu 3. BTS 2 7M 4. TOLL MBZ 5. BANSOS PRESIDEN 6. REKLAMASI","1796145683495325733","","","in","","0","1","0","https://x.com/Virsi6/status/1796145683495325733","1272768497945178112","Virsi6"
"1793297860634849606","Wed May 22 15:08:22 +0000 2024","2","Israel - Hamas Perang Bahan Pokok Naik akhirnya harus ada #bansos di musim pemilu Presiden Iran Tewas Kecelakaan Helikopter Jokowi was was bahan Pokok akan naik ? Bahan pokok bisa naik gegara presiden Iran Tewas!! apa akan ada bansos saat pilkada ? https://t.co/SmbedP42D9","1793297860634849606","https://pbs.twimg.com/media/GOMS5Rha0AAQb2f.jpg","","in","Indonesia","0","1","0","https://x.com/3rwin__34/status/1793297860634849606","1385407713987874820","3rwin__34"
"1796537208033411406","Fri May 31 13:40:23 +0000 2024","0","Barudak all in moal apaleun putusan MK jeung MA kumaha sibuk tawuran. Matak pas waktuna pemilu tinggal nyoblos nu mere bansos.","1796537208033411406","","","in","US: -6.863469,107.507877","0","0","0","https://x.com/cungacung/status/1796537208033411406","61673817","cungacung"
"1795642630434685074","Wed May 29 05:02:50 +0000 2024","7","@remotivi Sebenarnya cape bgt ga sih? Di thn ini dimulai dari awal kemarin pemilu MK Bansos IKN bea cukai makan gratis RUU Penyiaran UKT TAPERA RUU Polri dan kedepannya msh berbentuk arsip kali ya? Blm lg urusan personal keluarga kerjaan. Mustahil bgt kalo ga mikirin beginian.","1795682186672439702","","remotivi","in","afbf","0","1","0","https://x.com/raaanhsb/status/1795682186672439702","1521785221","raaanhsb"
"1791267666860405039","Fri May 17 00:41:06 +0000 2024","10","Jokowi Sebar Bansos hingga Desember PDIP: Cawe-cawe untuk Pilkada https://t.co/N6vnCu3F6D #Pemilu","1791267666860405039","","","in","Jakarta","1","2","2","https://x.com/liputan6dotcom/status/1791267666860405039","47596019","liputan6dotcom"
"1796157303189598242","Thu May 30 12:30:46 +0000 2024","8","BETULKAN PREDIKSI SAYA ?? Kalau UU Pemilu bisa lolos di MK maka UU lainnya bisa2 akan dirubah sekehendak Ki Lurah bersama Kroni2nya. Rakyat akan terus dihantam dengan berbagai manuver utk memuluskan jalan nafsu kekuasaannya. Rakyat tidak banyak yg mau bersuara krn disuap Bansos https://t.co/zyNouIsAu7","1796157303189598242","https://pbs.twimg.com/media/GO07jEEacAAORQ-.jpg","","in","Indonesia","0","0","1","https://x.com/Megatop99/status/1796157303189598242","278039207","Megatop99"
"1790817168608870842","Wed May 15 18:50:59 +0000 2024","51","Bukan nya sudah di atur? Bansos Turun Menjelang Pemilu... Setelah Pemilu Bansos ngilang!? https://t.co/kERa7XebRc","1790817168608870842","https://pbs.twimg.com/media/GNpCuVsbkAAWNkl.jpg","","in","Central Java, Indonesia","1","9","7","https://x.com/Aryprasetyo85/status/1790817168608870842","435004096","Aryprasetyo85"
"1796339943369032180","Fri May 31 00:36:31 +0000 2024","0","UKT batal. TAPERA dipastikan batal juga. Keduanya by design. Agar muncul Pahlawan (kesiangan) demi mengembalikan Citranya yg buruk &amp; busuk akibat Bansos pemilu 497T https://t.co/RyQqJRQ5Tp","1796339943369032180","https://pbs.twimg.com/media/GO3hp4VbIAA9Hqv.jpg","","in","Bumi Arema, Indonesia","0","0","0","https://x.com/Jaga5_sila/status/1796339943369032180","1548874746083053569","Jaga5_sila"
"1791642471971316155","Sat May 18 01:30:27 +0000 2024","0","Nerima bansos. Enak to? Scroll scroll dapet bansos. Scroll scroll dapet bansos. Pemilu pilih dia lagi. Lanjut. Scroll scroll dapet bansos. Scroll scroll dapet bansos. Ya asal ga bikin onar aja.","1791642471971316155","","","in","Jawa Tengah, Indonesia","0","0","0","https://x.com/dimassuryo/status/1791642471971316155","48627340","dimassuryo"
"1794006742785049057","Fri May 24 23:34:27 +0000 2024","23","@Chynthia_K saya 500 meter dari sana. Ktp dalem ngk tau klw ada bansos. Maen nya cantik. Jgn sampe @HuseinShelly know klw ini pencitraan tai tikus","1794149997145096398","","Chynthia_K","in","8ft di bawah tanah","0","3","1","https://x.com/Donie707/status/1794149997145096398","1573280097003397121","Donie707"
"1630035500366004225","Mon Feb 27 02:42:02 +0000 2023","5","Anggaran Bansos 2023 Naik Tanda Pemilu Sudah Dekat? https://t.co/NeMxPqCn4H","1630035500366004225","","","in","redaksi@mojok.co","0","1","0","https://x.com/mojokdotco/status/1630035500366004225","2388795571","mojokdotco"
"1793597620654579737","Thu May 23 10:59:30 +0000 2024","2","Menjual diri demi bansos pemilu kemarin dampaknya: 1. UKT naik 2. Utang numpuk 3. Politik makin keliatan dinasti 4. Lapangan kerja susah disalahin Gen Z 5. Sembako makin mahal Semoga bansos 300 ribu mu dari Jokowi buat milih 02 cukup untuk hidup 5 tahun kedepan.","1793597620654579737","","","in","","0","0","1","https://x.com/0b170_uch1h4/status/1793597620654579737","1741668509019672576","0b170_uch1h4"
